check_column,disease_class,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
0,other,34602377,2020 guide for the diagnosis and treatment of interstitial lung disease associated with connective tissue disease,"Kondoh Y, Makino S, Ogura T, Suda T, Tomioka H, Amano H, Anraku M, Enomoto N, Fujii T, Fujisawa T, Gono T, Harigai M, Ichiyasu H, Inoue Y, Johkoh T, Kameda H, Kataoka K, Katsumata Y, Kawaguchi Y, Kawakami A, Kitamura H, Kitamura N, Koga T, Kurasawa K, Nakamura Y, Nakashima R, Nishioka Y, Nishiyama O, Okamoto M, Sakai F, Sakamoto S, Sato S, Shimizu T, Takayanagi N, Takei R, Takemura T, Takeuchi T, Toyoda Y, Yamada H, Yamakawa H, Yamano Y, Yamasaki Y, Kuwana M; joint committee of Japanese Respiratory Society and Japan College of Rheumatology.",Respir Investig. 2021 Nov;59(6):709-740. doi: 10.1016/j.resinv.2021.04.011. Epub 2021 Oct 1.,Kondoh Y,Respir Investig,2021,2021/10/04,,,10.1016/j.resinv.2021.04.011
0,RA,31475852,"A large observational cohort study of rheumatoid arthritis, IORRA: Providing context for today's treatment options","Yamanaka H, Tanaka E, Nakajima A, Furuya T, Ikari K, Taniguchi A, Inoue E, Harigai M.",Mod Rheumatol. 2020 Jan;30(1):1-6. doi: 10.1080/14397595.2019.1660028. Epub 2019 Oct 1.,Yamanaka H,Mod Rheumatol,2020,2019/09/03,,,10.1080/14397595.2019.1660028
0,RA,32788396,Infections in baricitinib clinical trials for patients with active rheumatoid arthritis,"Winthrop KL, Harigai M, Genovese MC, Lindsey S, Takeuchi T, Fleischmann R, Bradley JD, Byers NL, Hyslop DL, Issa M, Nishikawa A, Rooney TP, Witt S, Dickson CL, Smolen JS, Dougados M.",Ann Rheum Dis. 2020 Oct;79(10):1290-1297. doi: 10.1136/annrheumdis-2019-216852. Epub 2020 Aug 11.,Winthrop KL,Ann Rheum Dis,2020,2020/08/14,,,10.1136/annrheumdis-2019-216852
0,RA,32681420,Selectivity of Janus Kinase Inhibitors in Rheumatoid Arthritis and Other Immune-Mediated Inflammatory Diseases: Is Expectation the Root of All Headache?,"Harigai M, Honda S.",Drugs. 2020 Aug;80(12):1183-1201. doi: 10.1007/s40265-020-01349-1.,Harigai M,Drugs,2020,2020/07/19,PMC7395017,,10.1007/s40265-020-01349-1
0,RA,33016574,"Prevalence of patients with rheumatoid arthritis and age-stratified trends in clinical characteristics and treatment, based on the National Database of Health Insurance Claims and Specific Health Checkups of Japan","Nakajima A, Sakai R, Inoue E, Harigai M.",Int J Rheum Dis. 2020 Dec;23(12):1676-1684. doi: 10.1111/1756-185X.13974. Epub 2020 Oct 5.,Nakajima A,Int J Rheum Dis,2020,2020/10/05,,,10.1111/1756-185X.13974
0,RA,32174196,The safety of baricitinib in patients with rheumatoid arthritis,"Honda S, Harigai M.",Expert Opin Drug Saf. 2020 May;19(5):545-551. doi: 10.1080/14740338.2020.1743263. Epub 2020 Mar 21.,Honda S,Expert Opin Drug Saf,2020,2020/03/17,,,10.1080/14740338.2020.1743263
0,SS,33909342,Characteristics of Japanese patients with systemic sclerosis complicated with calcinosis,"Takagi K, Kawamoto M, Higuchi T, Tochimoto A, Hirose H, Harigai M, Kawaguchi Y.",Int J Rheum Dis. 2021 Jun;24(6):803-808. doi: 10.1111/1756-185X.14121. Epub 2021 Apr 28.,Takagi K,Int J Rheum Dis,2021,2021/04/28,,,10.1111/1756-185X.14121
0,RA,34041702,The Safety Profile of Upadacitinib in Patients with Rheumatoid Arthritis in Japan,"Yamaoka K, Tanaka Y, Kameda H, Khan N, Sasaki N, Harigai M, Song Y, Zhang Y, Takeuchi T.",Drug Saf. 2021 Jun;44(6):711-722. doi: 10.1007/s40264-021-01067-x. Epub 2021 May 27.,Yamaoka K,Drug Saf,2021,2021/05/27,PMC8184701,,10.1007/s40264-021-01067-x
0,VAS,31956163,JCS 2017 Guideline on Management of Vasculitis Syndrome　- Digest Version,"Isobe M, Amano K, Arimura Y, Ishizu A, Ito S, Kaname S, Kobayashi S, Komagata Y, Komuro I, Komori K, Takahashi K, Tanemoto K, Hasegawa H, Harigai M, Fujimoto S, Miyazaki T, Miyata T, Yamada H, Yoshida A, Wada T, Inoue Y, Uchida HA, Ota H, Okazaki T, Onimaru M, Kawakami T, Kinouchi R, Kurata A, Kosuge H, Sada KE, Shigematsu K, Suematsu E, Sueyoshi E, Sugihara T, Sugiyama H, Takeno M, Tamura N, Tsutsumino M, Dobashi H, Nakaoka Y, Nagasaka K, Maejima Y, Yoshifuji H, Watanabe Y, Ozaki S, Kimura T, Shigematsu H, Yamauchi-Takihara K, Murohara T, Momomura SI; JCS Joint Working Group.",Circ J. 2020 Jan 24;84(2):299-359. doi: 10.1253/circj.CJ-19-0773. Epub 2020 Jan 18.,Isobe M,Circ J,2020,2020/01/21,,,10.1253/circj.CJ-19-0773
0,SLE,34197023,Patterns of Medication Use in Systemic Lupus Erythematosus - A Multi-Centre Cohort Study,"Kandane-Rathnayake R, Louthrenoo W, Luo SF, Wu YJ, Chen YH, Golder V, Lateef A, Cho J, Navarra SV, Zamora L, Hamijoyo L, Sockalingam S, An Y, Li Z, Montes R, Oon S, Katsumata Y, Harigai M, Hao Y, Zhang Z, Chan M, Kikuchi J, Takeuchi T, Goldblatt F, O'Neill S, Bae SC, Lau CS, Hoi A, Karyekar CS, Nikpour M, Morand EF; Asia-Pacific Lupus Collaboration.",Arthritis Care Res (Hoboken). 2021 Jul 1. doi: 10.1002/acr.24740. Online ahead of print.,Kandane-Rathnayake R,Arthritis Care Res (Hoboken),2021,2021/07/01,,,10.1002/acr.24740
